,Quarter,Tm,Detail,NOR,BAL
0,1.0,Colts,Tony Lorick 1 yard rush (Lou Michaels kick),0,7
1,2.0,Colts,Lou Michaels 35 yard field goal,0,10
2,2.0,Colts,Tom Matte 2 yard rush (Lou Michaels kick),0,17
3,3.0,Saints,Charlie Durkee 35 yard field goal,3,17
4,3.0,Colts,Lou Michaels 21 yard field goal,3,20
5,3.0,Saints,Charlie Brown 5 yard rush (Charlie Durkee kick),10,20
6,4.0,Colts,Lou Michaels 17 yard field goal,10,23
7,4.0,Colts,Jerry Hill 1 yard rush (Lou Michaels kick),10,30
