,Quarter,Tm,Detail,CHI,ATL
0,1.0,Bears,Walter Payton 1 yard rush (Bob Thomas kick),7,0
1,2.0,Bears,Bob Thomas 41 yard field goal,10,0
2,2.0,Falcons,Alfred Jenkins 7 yard pass from Steve Bartkowski (Tim Mazzetti kick),10,7
3,2.0,Falcons,William Andrews 4 yard rush (Tim Mazzetti kick),10,14
4,3.0,Bears,Vince Evans 1 yard rush (Bob Thomas kick),17,14
5,4.0,Falcons,Alfred Jenkins 42 yard pass from Steve Bartkowski (Tim Mazzetti kick),17,21
6,4.0,Falcons,William Andrews 9 yard pass from Steve Bartkowski (Tim Mazzetti kick),17,28
