,Quarter,Tm,Detail,PIT,WAS
0,2.0,Redskins,Hugh Taylor 51 yard pass from Harry Gilmer (Dick Poillon kick),0,7
1,2.0,Steelers,Jim Finks 5 yard rush (Joe Glamp kick),7,7
2,3.0,Steelers,Jerry Shipkey 1 yard rush (Joe Glamp kick),14,7
3,4.0,Redskins,Pete Stout 74 yard rush (Dick Poillon kick),14,14
4,4.0,Redskins,Pete Stout 1 yard rush,14,20
5,4.0,Redskins,Harry Dowda 1 yard rush (Dick Poillon kick),14,27
