,Quarter,Time,Tm,Detail,DET,SEA
0,1.0,12:06,Lions,Jason Hanson 51 yard field goal,3,0
1,2.0,14:55,Lions,Germane Crowell 16 yard pass from Charlie Batch (Jason Hanson kick),10,0
2,2.0,10:26,Lions,David Sloan 5 yard pass from Charlie Batch,16,0
3,2.0,9:28,Lions,"Safety, punt snap went out of end zone",18,0
4,2.0,9:14,Seahawks,Willie Williams 40 yard interception return (Todd Peterson kick),18,7
5,2.0,4:33,Lions,Germane Crowell 41 yard pass from Charlie Batch (Jason Hanson kick),25,7
6,3.0,3:29,Seahawks,Sean Dawkins 26 yard pass from Jon Kitna (Todd Peterson kick),25,14
7,4.0,7:11,Seahawks,Sean Dawkins 3 yard pass from Jon Kitna (pass failed),25,20
8,4.0,2:10,Lions,Jason Hanson 49 yard field goal,28,20
