,Quarter,Time,Tm,Detail,BAL,LAR
0,1.0,7:51,Ravens,Marquise Brown 6 yard pass from Lamar Jackson (Justin Tucker kick),7,0
1,1.0,1:37,Ravens,Marquise Brown 18 yard pass from Lamar Jackson (Justin Tucker kick),14,0
2,2.0,9:50,Rams,Greg Zuerlein 32 yard field goal,14,3
3,2.0,4:46,Ravens,Mark Ingram 1 yard rush (Justin Tucker kick),21,3
4,2.0,2:00,Rams,Greg Zuerlein 46 yard field goal,21,6
5,2.0,0:15,Ravens,Willie Snead 7 yard pass from Lamar Jackson (Justin Tucker kick),28,6
6,3.0,9:52,Ravens,Mark Ingram 7 yard pass from Lamar Jackson (Justin Tucker kick),35,6
7,4.0,14:51,Ravens,Willie Snead 7 yard pass from Lamar Jackson (Justin Tucker kick),42,6
8,4.0,6:41,Ravens,Justin Tucker 34 yard field goal,45,6
