,Quarter,Time,Tm,Detail,CHI,TAM
0,1.0,,Bears,Kevin Butler 24 yard field goal,3,0
1,2.0,,Buccaneers,Michael Husted 43 yard field goal,3,3
2,2.0,,Bears,Kevin Butler 37 yard field goal,6,3
3,2.0,,Bears,Kevin Butler 22 yard field goal,9,3
4,3.0,13:40,Bears,Robert Green 7 yard rush (Kevin Butler kick),16,3
5,3.0,13:40,Bears,Anthony Marshall 11 yard blocked punt return (run failed),22,3
6,3.0,13:40,Buccaneers,Michael Husted 40 yard field goal,22,6
7,4.0,13:40,Bears,Kevin Butler 27 yard field goal,25,6
