,Quarter,Time,Tm,Detail,STL,PHI
0,1,14:09,Rams,Marshall Faulk 7 yard rush (Jeff Wilkins kick),7,0
1,1,1:10,Eagles,David Akers 50 yard field goal,7,3
2,2,0:26,Rams,Ernie Conwell 2 yard pass from Kurt Warner (Jeff Wilkins kick),14,3
3,3,7:00,Rams,Jeff Wilkins 20 yard field goal,17,3
4,4,10:01,Eagles,Cecil Martin 1 yard pass from Donovan McNabb (David Akers kick),17,10
5,4,3:59,Eagles,Cecil Martin 8 yard pass from Donovan McNabb (David Akers kick),17,17
6,OT,7:04,Rams,Jeff Wilkins 26 yard field goal,20,17
