,Quarter,Time,Tm,Detail,LAC,JAX
0,1.0,7:27,Jaguars,Josh Lambo 26 yard field goal,0,3
1,1.0,5:50,Chargers,Melvin Gordon 1 yard rush (Michael Badgley kick),7,3
2,2.0,5:23,Chargers,Derek Watt 1 yard rush (Michael Badgley kick),14,3
3,2.0,1:42,Chargers,Hunter Henry 30 yard pass from Philip Rivers (Michael Badgley kick),21,3
4,2.0,0:08,Chargers,Michael Badgley 40 yard field goal,24,3
5,3.0,14:06,Chargers,Austin Ekeler 84 yard pass from Philip Rivers (Michael Badgley kick),31,3
6,3.0,5:55,Jaguars,Nick O'Leary 12 yard pass from Gardner Minshew II (Josh Lambo kick),31,10
7,3.0,2:01,Chargers,Mike Williams 44 yard pass from Philip Rivers (Michael Badgley kick),38,10
8,4.0,10:59,Chargers,Virgil Green 14 yard pass from Tyrod Taylor (Michael Badgley kick),45,10
