,Quarter,Tm,Detail,ATL,NYG
0,2.0,Falcons,William Andrews 13 yard rush (Mick Luckhurst kick),7,0
1,2.0,Giants,Earnest Gray 33 yard pass from Scott Brunner (Joe Danelo kick),7,7
2,3.0,Giants,Earnest Gray 19 yard pass from Scott Brunner (Joe Danelo kick),7,14
3,4.0,Falcons,Bob Glazebrook 91 yard defensive fumble return,13,14
4,4.0,Falcons,Mick Luckhurst 29 yard field goal,16,14
