,Quarter,Tm,Detail,STL,NYG
0,1,Cardinals,Jim Bakken 42 yard field goal,3,0
1,2,Cardinals,Bill Triplett 59 yard rush (Jim Bakken kick),10,0
2,3,Giants,Aaron Thomas 21 yard pass from Earl Morrall (Bob Timberlake kick),10,7
3,4,Giants,Tucker Frederickson 4 yard rush (Bob Timberlake kick),10,14
