,Quarter,Tm,Detail,BUF,IND
0,1.0,Bills,Greg Bell 18 yard rush (Scott Norwood kick),7,0
1,1.0,Colts,Mike Pagel 2 yard rush (Raul Allegre kick),7,7
2,2.0,Colts,George Wonsley 7 yard rush (Raul Allegre kick),7,14
3,2.0,Bills,Scott Norwood 45 yard field goal,10,14
4,2.0,Colts,George Wonsley 3 yard rush (Raul Allegre kick),10,21
5,2.0,Colts,Ray Butler 18 yard pass from Mike Pagel (Raul Allegre kick),10,28
6,3.0,Colts,Randy McMillan 6 yard rush (Raul Allegre kick),10,35
7,3.0,Colts,Anthony Young 28 yard defensive fumble return (Raul Allegre kick),10,42
8,4.0,Colts,Randy McMillan 2 yard rush (Raul Allegre kick),10,49
9,4.0,Bills,Andre Reed 10 yard pass from Vince Ferragamo (Scott Norwood kick),17,49
