,Quarter,Time,Tm,Detail,BUF,SFO
0,2.0,14:54,49ers,Garrison Hearst 1 yard rush (Jose Cortez kick),0,7
1,2.0,8:47,49ers,Tai Streets 23 yard pass from Jeff Garcia (Jose Cortez kick),0,14
2,3.0,2:50,49ers,Terrell Owens 17 yard pass from Jeff Garcia (Jose Cortez kick),0,21
3,4.0,4:53,49ers,Fred Beasley 3 yard rush (Jose Cortez kick),0,28
4,4.0,3:08,49ers,Paul Smith 13 yard rush (Jose Cortez kick),0,35
