,Quarter,Tm,Detail,CLE,SEA
0,1.0,Seahawks,Kenny Easley 82 yard interception return (Wilson Alvarez kick),0,7
1,1.0,Seahawks,Theotis Brown 2 yard rush (Wilson Alvarez kick),0,14
2,2.0,Seahawks,Steve Largent 4 yard pass from Dave Krieg (Wilson Alvarez kick),0,21
3,2.0,Seahawks,Gregg Johnson 31 yard defensive fumble return (Wilson Alvarez kick),0,28
4,2.0,Browns,Greg Pruitt 5 yard pass from Paul McDonald (Matt Bahr kick),7,28
5,3.0,Seahawks,Paul Johns 10 yard pass from Dave Krieg (Wilson Alvarez kick),7,35
6,3.0,Seahawks,Steve Largent 14 yard pass from Dave Krieg (Wilson Alvarez kick),7,42
7,3.0,Browns,Dave Logan 16 yard pass from Paul McDonald (Matt Bahr kick),14,42
8,4.0,Browns,Calvin Hill 8 yard pass from Paul McDonald (Matt Bahr kick),21,42
