,Quarter,Tm,Detail,DAL,STL
0,1.0,Cowboys,Don Perkins 2 yard rush (Dick Van Raaphorst kick),7,0
1,2.0,Cardinals,Jim Bakken 39 yard field goal,7,3
2,2.0,Cowboys,Frank Clarke 18 yard pass from Don Meredith (Dick Van Raaphorst kick),14,3
3,3.0,Cardinals,Jim Bakken 16 yard field goal,14,6
4,4.0,Cowboys,Amos Marsh 10 yard rush (Dick Van Raaphorst kick),21,6
5,4.0,Cowboys,Dick Van Raaphorst 20 yard field goal,24,6
6,4.0,Cowboys,Amos Marsh 24 yard rush (Dick Van Raaphorst kick),31,6
7,4.0,Cardinals,Sonny Randle 3 yard pass from Charley Johnson (Jim Bakken kick),31,13
