,Quarter,Tm,Detail,NYG,NYJ
0,2.0,Jets,George Nock 8 yard pass from Al Woodall (Jim Turner kick),0,7
1,2.0,Giants,Pete Gogolak 25 yard field goal,3,7
2,3.0,Jets,Jim Turner 31 yard field goal,3,10
3,3.0,Giants,"Safety, Mercein tackled in end zone by Files",5,10
4,3.0,Giants,Bob Tucker 9 yard pass from Fran Tarkenton (Pete Gogolak kick),12,10
5,3.0,Giants,Clifton McNeil 11 yard pass from Fran Tarkenton (Pete Gogolak kick),19,10
6,4.0,Giants,Pete Gogolak 37 yard field goal,22,10
