,Quarter,Tm,Detail,TAM,MIA
0,1.0,Buccaneers,Reggie Cobb 2 yard rush (Steve Christie kick),7,0
1,2.0,Dolphins,Mark Duper 6 yard pass from Dan Marino (Pete Stoyanovich kick),7,7
2,2.0,Dolphins,Pete Stoyanovich 41 yard field goal,7,10
3,2.0,Dolphins,Mark Higgs 19 yard rush (Pete Stoyanovich kick),7,17
4,2.0,Dolphins,Tony Martin 26 yard pass from Dan Marino (Pete Stoyanovich kick),7,24
5,3.0,Dolphins,Pete Stoyanovich 24 yard field goal,7,27
6,3.0,Dolphins,Pete Stoyanovich 19 yard field goal,7,30
7,4.0,Dolphins,Pete Stoyanovich 30 yard field goal,7,33
8,4.0,Buccaneers,Lawrence Dawsey 17 yard pass from Vinny Testaverde (Steve Christie kick),14,33
