,Quarter,Tm,Detail,NYG,RAM
0,1.0,Rams,Cleveland Gary 1 yard rush (Tony Zendejas kick),0,7
1,2.0,Giants,Rodney Hampton 10 yard rush (Matt Bahr kick),7,7
2,2.0,Rams,Pat Carter 9 yard pass from Jim Everett (Tony Zendejas kick),7,14
3,2.0,Giants,Matt Bahr 31 yard field goal,10,14
4,3.0,Rams,Tony Zendejas 46 yard field goal,10,17
5,3.0,Rams,Jeff Chadwick 19 yard pass from Jim Everett (Tony Zendejas kick),10,24
6,4.0,Rams,Cleveland Gary 5 yard rush (Tony Zendejas kick),10,31
7,4.0,Giants,Rodney Hampton 2 yard rush (Matt Bahr kick),17,31
8,4.0,Rams,David Lang 1 yard rush (Tony Zendejas kick),17,38
