,Quarter,Tm,Detail,NYJ,MIA
0,1.0,Jets,Pat Leahy 25 yard field goal,3,0
1,2.0,Jets,Rob Moore 9 yard pass from Ken O'Brien (Pat Leahy kick),10,0
2,2.0,Jets,Pat Leahy 19 yard field goal,13,0
3,3.0,Dolphins,Marc Logan 11 yard rush,13,6
4,3.0,Dolphins,Mark Duper 69 yard pass from Dan Marino (Pete Stoyanovich kick),13,13
5,4.0,Jets,Pat Leahy 30 yard field goal,16,13
6,4.0,Dolphins,Mark Duper 13 yard pass from Dan Marino (Pete Stoyanovich kick),16,20
