,Quarter,Tm,Detail,CHI,GNB
0,1.0,Packers,John Brockington 1 yard rush (Joe Danelo kick),0,7
1,2.0,Packers,John Brockington 1 yard rush (Joe Danelo kick),0,14
2,2.0,Packers,Steve Odom 14 yard pass from Willard Harrell (Joe Danelo kick),0,21
3,2.0,Packers,John Brockington 8 yard rush (Joe Danelo kick),0,28
4,3.0,Bears,Walter Payton 1 yard rush (Bob Thomas kick),7,28
