,Quarter,Tm,Detail,SFO,RAM
0,1.0,Rams,Danny Villanueva 43 yard field goal,0,3
1,2.0,49ers,Billy Kilmer 3 yard pass from John Brodie (Tommy Davis kick),7,3
2,3.0,49ers,Tommy Davis 30 yard field goal,10,3
3,3.0,49ers,Billy Kilmer 3 yard rush (Tommy Davis kick),17,3
4,4.0,Rams,Red Phillips 27 yard pass from Zeke Bratkowski (Danny Villanueva kick),17,10
5,4.0,49ers,Jimmy Johnson 37 yard pass from John Brodie (Tommy Davis kick),24,10
6,4.0,Rams,Dick Bass 10 yard pass from Zeke Bratkowski (Danny Villanueva kick),24,17
