,Quarter,Tm,Detail,CHI,CRD
0,1.0,Bears,Bill Karr 25 yard blocked punt return,6,0
1,2.0,Bears,"Safety, Koken tackled in end zone",8,0
2,2.0,Bears,Red Grange unknown yard rush (Jack Manders kick),15,0
3,4.0,Bears,Joe Zeller 21 yard pass from John Doehring (Jack Manders kick),22,0
4,4.0,Cardinals,Joe Lillard 7 yard rush,22,6
