,Quarter,Tm,Detail,DET,CLE
0,2.0,Browns,Brian Brennan offensive fumble recovery in end zone (Matt Bahr kick),0,7
1,2.0,Lions,Leonard Thompson 3 yard pass from Eric Hipple (Eddie Murray kick),7,7
2,3.0,Browns,Gerald McNeil 84 yard punt return (Matt Bahr kick),7,14
3,4.0,Lions,James Jones 6 yard pass from Eric Hipple (Eddie Murray kick),14,14
4,4.0,Browns,Matt Bahr 24 yard field goal,14,17
5,4.0,Browns,Curtis Dickey 1 yard rush (Matt Bahr kick),14,24
6,4.0,Lions,Carl Bland 3 yard pass from Eric Hipple (Eddie Murray kick),21,24
