,Quarter,Tm,Detail,DET,CHI
0,1.0,Bears,Rick Casares 43 yard pass from Ed Brown (John Aveni kick),0,7
1,1.0,Bears,"Safety, Rote tackled by Leggett in end zone",0,9
2,2.0,Bears,John Aveni 10 yard field goal,0,12
3,2.0,Bears,John Aveni 12 yard field goal,0,15
4,3.0,Lions,John Henry Johnson 13 yard rush (Gerry Perry kick),7,15
5,3.0,Bears,Jim Dooley 28 yard pass from Ed Brown (John Aveni kick),7,22
6,3.0,Lions,Jim Doran 8 yard pass from Earl Morrall (Gerry Perry kick),14,22
7,4.0,Bears,John Aveni 10 yard field goal,14,25
