,Quarter,Time,Tm,Detail,NYJ,TAM
0,1.0,0:54,Buccaneers,Patrick Murray 29 yard field goal,0,3
1,2.0,0:00,Jets,Chandler Catanzaro 47 yard field goal,3,3
2,3.0,10:42,Buccaneers,Patrick Murray 49 yard field goal,3,6
3,3.0,0:29,Buccaneers,Patrick Murray 37 yard field goal,3,9
4,4.0,6:05,Buccaneers,Charles Sims 6 yard pass from Ryan Fitzpatrick (run failed),3,15
5,4.0,0:28,Jets,Robby Anderson 38 yard pass from Josh McCown (Chandler Catanzaro kick),10,15
