,Quarter,Tm,Detail,DET,NYG
0,1.0,Giants,Steve Filipowicz 1 yard rush (Ken Strong kick),0,7
1,1.0,Lions,Dave Ryan 63 yard pass from Bob Westfall (Bill Callihan kick),7,7
2,2.0,Giants,Frank Liebel 20 yard pass from Junie Hovious (Ken Strong kick),7,14
3,2.0,Giants,Frank Liebel 53 yard pass from Junie Hovious (Ken Strong kick),7,21
4,4.0,Lions,Bob Westfall 1 yard rush (Bill Callihan kick),14,21
5,4.0,Giants,Sam Fox 23 yard pass from Junie Hovious (Ken Strong kick),14,28
6,4.0,Giants,Howie Livingston 2 yard rush (Ken Strong kick),14,35
