,Quarter,Time,Tm,Detail,TEN,JAX
0,1.0,11:09,Jaguars,Alvin Pearman 6 yard rush (Josh Scobee kick),0,7
1,1.0,7:15,Jaguars,LaBrandon Toefield 32 yard rush (Josh Scobee kick),0,14
2,1.0,1:35,Jaguars,Josh Scobee 46 yard field goal,0,17
3,2.0,10:13,Jaguars,Josh Scobee 38 yard field goal,0,20
4,2.0,4:11,Jaguars,Derrick Wimbush 6 yard rush (Josh Scobee kick),0,27
5,3.0,4:24,Jaguars,Matt Jones 10 yard pass from Quinn Gray (Josh Scobee kick),0,34
6,3.0,0:34,Jaguars,Ernest Wilford 14 yard pass from Quinn Gray (Josh Scobee kick failed),0,40
7,4.0,9:01,Titans,Ben Troupe 4 yard pass from Billy Volek (Rob Bironas kick),7,40
8,4.0,0:55,Titans,Bo Scaife 10 yard pass from Billy Volek (Rob Bironas kick failed),13,40
