,Quarter,Tm,Detail,NYG,BKN
0,1,Dodgers,Ralph Kercheval 20 yard field goal,0,3
1,2,Giants,Tuffy Leemans 2 yard rush (Ken Strong kick),7,3
2,3,Dodgers,Ralph Kercheval 47 yard field goal,7,6
