,Quarter,Tm,Detail,DAL,NYG
0,1.0,Cowboys,Jay Saldi 8 yard special teams fumble return (Efren Herrera kick),7,0
1,2.0,Giants,Joe Danelo 51 yard field goal,7,3
2,2.0,Cowboys,Billy Joe DuPree 5 yard pass from Roger Staubach (Efren Herrera kick),14,3
3,3.0,Cowboys,Tony Dorsett 1 yard rush (Efren Herrera kick),21,3
4,3.0,Giants,Bobby Hammond 1 yard rush (Joe Danelo kick),21,10
5,4.0,Cowboys,Efren Herrera 35 yard field goal,24,10
