,Quarter,Tm,Detail,BUF,BAL
0,1.0,Colts,Don McCauley 29 yard pass from Marty Domres (Jim O'Brien kick),0,7
1,1.0,Colts,Lydell Mitchell 17 yard pass from Marty Domres (Jim O'Brien kick),0,14
2,3.0,Colts,Don McCauley 9 yard pass from Marty Domres (Jim O'Brien kick),0,21
3,4.0,Colts,Marty Domres 15 yard rush (Jim O'Brien kick),0,28
4,4.0,Colts,Eddie Hinton 63 yard pass from Johnny Unitas (Jim O'Brien kick),0,35
5,4.0,Bills,O.J. Simpson 1 yard rush (John Leypoldt kick),7,35
