,Quarter,Tm,Detail,TAM,SFO
0,2.0,49ers,Roger Craig 10 yard rush (Ray Wersching kick),0,7
1,2.0,49ers,Roger Craig 1 yard rush (Ray Wersching kick),0,14
2,2.0,Buccaneers,Theo Bell 9 yard pass from Jack Thompson (Bill Capece kick),7,14
3,3.0,49ers,Joe Montana 12 yard rush (Ray Wersching kick),7,21
4,3.0,Buccaneers,Kevin House 74 yard pass from Jack Thompson (Bill Capece kick),14,21
5,3.0,49ers,Bill Ring 3 yard rush (Ray Wersching kick),14,28
6,4.0,49ers,Roger Craig 14 yard rush (Ray Wersching kick),14,35
7,4.0,Buccaneers,Mel Carver 3 yard pass from Jack Thompson (Bill Capece kick),21,35
