,Quarter,Time,Tm,Detail,MIA,NWE
0,1.0,,Patriots,Curtis Martin 1 yard rush (Adam Vinatieri kick),0,7
1,1.0,,Dolphins,Karim Abdul-Jabbar 3 yard rush (Joe Nedney kick),7,7
2,2.0,,Dolphins,Karim Abdul-Jabbar 3 yard rush (Joe Nedney kick),14,7
3,2.0,,Patriots,Curtis Martin 1 yard rush (Adam Vinatieri kick),14,14
4,3.0,,Dolphins,Joe Nedney 39 yard field goal,17,14
5,3.0,,Patriots,Ben Coates 23 yard pass from Drew Bledsoe (Adam Vinatieri kick),17,21
6,4.0,,Patriots,Ben Coates 84 yard pass from Drew Bledsoe (Adam Vinatieri kick),17,28
7,4.0,,Patriots,Sam Gash 5 yard pass from Drew Bledsoe (Adam Vinatieri kick),17,35
8,4.0,,Patriots,Curtis Martin 2 yard rush (Adam Vinatieri kick),17,42
9,4.0,,Dolphins,O.J. McDuffie 29 yard pass from Craig Erickson (pass failed),23,42
