,Quarter,Tm,Detail,PHI,DAL
0,1.0,Cowboys,Toni Fritsch 23 yard field goal,0,3
1,2.0,Cowboys,Duane Thomas 1 yard rush (Toni Fritsch kick),0,10
2,3.0,Cowboys,Duane Thomas 13 yard rush (Toni Fritsch kick),0,17
3,4.0,Cowboys,Toni Fritsch 46 yard field goal,0,20
4,4.0,Eagles,Pete Liske 1 yard rush (Happy Feller kick),7,20
