,Quarter,Tm,Detail,RAM,GNB
0,1.0,Packers,Ted Fritsch 24 yard field goal,0,3
1,1.0,Packers,Don Hutson 26 yard pass from Cecil Isbell (Don Hutson kick),0,10
2,2.0,Rams,Dante Magnani 67 yard pass from Jack Jacobs (Boyd Clay kick),7,10
3,2.0,Rams,Dante Magnani 52 yard rush (Boyd Clay kick),14,10
4,2.0,Packers,Chuck Sample 1 yard rush (Don Hutson kick),14,17
5,2.0,Rams,Bill Lazetich 4 yard rush (Chet Adams kick),21,17
6,3.0,Packers,Cecil Isbell 10 yard rush (Don Hutson kick),21,24
7,3.0,Packers,Tony Canadeo 50 yard rush (Don Hutson kick),21,31
8,4.0,Packers,Don Hutson 1 yard pass from Cecil Isbell (Don Hutson kick),21,38
9,4.0,Packers,Joe Laws 28 yard pass from Tony Canadeo (Lou Brock kick),21,45
10,4.0,Rams,Gaylon Smith 2 yard rush (Chet Adams kick),28,45
