,Quarter,Time,Tm,Detail,SDG,SEA
0,2.0,,Seahawks,John Kasay 39 yard field goal,0,3
1,2.0,,Chargers,John Carney 36 yard field goal,3,3
2,2.0,,Chargers,Natrone Means 1 yard rush (John Carney kick),10,3
3,3.0,,Chargers,Stanley Richard 73 yard interception return (John Carney kick),17,3
4,3.0,,Chargers,Tony Martin 99 yard pass from Stan Humphries (John Carney kick),24,3
5,4.0,,Seahawks,Chris Warren 11 yard rush (John Kasay kick),24,10
