,Quarter,Tm,Detail,KAN,BAL
0,1.0,Chiefs,James Hadnot 1 yard rush (Nick Lowery kick),7,0
1,1.0,Chiefs,J.T. Smith 37 yard pass from Bill Kenney (Nick Lowery kick),14,0
2,1.0,Chiefs,J.T. Smith 53 yard punt return (Nick Lowery kick),21,0
3,2.0,Colts,Joe Washington 20 yard pass from Bert Jones (Steve Mike-Mayer kick),21,7
4,2.0,Colts,Roger Carr 5 yard pass from Bert Jones (Steve Mike-Mayer kick),21,14
5,2.0,Colts,Marvin Sims 2 yard rush (Steve Mike-Mayer kick),21,21
6,2.0,Colts,Randy Burke 14 yard pass from Bert Jones (Steve Mike-Mayer kick),21,28
7,3.0,Chiefs,Henry Marshall 23 yard pass from Bill Kenney (Nick Lowery kick),28,28
8,4.0,Chiefs,Nick Lowery 39 yard field goal,31,28
9,4.0,Chiefs,Henry Marshall 75 yard pass from Bill Kenney (Nick Lowery kick),38,28
