,Quarter,Time,Tm,Detail,DEN,LAC
0,1.0,11:11,Broncos,Phillip Lindsay 4 yard rush (Brandon McManus kick),7,0
1,1.0,5:11,Broncos,Courtland Sutton 70 yard pass from Joe Flacco (Brandon McManus kick),14,0
2,2.0,5:22,Broncos,Brandon McManus 40 yard field goal,17,0
3,3.0,0:49,Chargers,Desmond King 68 yard punt return (Chase McLaughlin kick),17,7
4,4.0,6:52,Chargers,Chase McLaughlin 45 yard field goal,17,10
5,4.0,2:00,Broncos,Brandon McManus 46 yard field goal,20,10
6,4.0,0:15,Chargers,Chase McLaughlin 32 yard field goal,20,13
