,Quarter,Tm,Detail,CRD,RAM
0,1.0,Rams,Bob Waterfield 33 yard field goal,0,3
1,1.0,Cardinals,Pat Harder 35 yard field goal,3,3
2,2.0,Cardinals,Babe Dimancheff 15 yard pass from Ray Mallouf (Pat Harder kick),10,3
3,2.0,Cardinals,Pat Harder 21 yard field goal,13,3
4,3.0,Cardinals,Elmer Angsman 1 yard rush (Pat Harder kick),20,3
5,3.0,Cardinals,Pat Harder 1 yard rush (Pat Harder kick),27,3
6,3.0,Rams,Red Hickey 11 yard pass from Jim Hardy (Bob Waterfield kick),27,10
7,4.0,Rams,Red Hickey 69 yard pass from Jim Hardy,27,16
8,4.0,Rams,Red Hickey 35 yard pass from Jim Hardy,27,22
