,Quarter,Tm,Detail,CLE,CRD
0,1.0,Cardinals,Ollie Matson 19 yard rush (Pat Summerall kick),0,7
1,1.0,Browns,Lou Groza 30 yard field goal,3,7
2,3.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),10,7
3,4.0,Browns,Preston Carpenter 14 yard pass from Tommy O'Connell (Lou Groza kick),17,7
