,Quarter,Tm,Detail,CLE,NYG
0,2.0,Giants,Joe Walton 7 yard pass from Ralph Guglielmi (Don Chandler kick),0,7
1,2.0,Browns,Lou Groza 16 yard field goal,3,7
2,3.0,Browns,Lou Groza 39 yard field goal,6,7
3,3.0,Giants,Joe Morrison 1 yard rush (Don Chandler kick),6,14
4,3.0,Browns,Jim Brown 4 yard rush (Lou Groza kick),13,14
5,4.0,Giants,Don Chandler 17 yard field goal,13,17
