,Quarter,Tm,Detail,NWE,CIN
0,2.0,Bengals,Boobie Clark 1 yard rush (Dave Green kick),0,7
1,2.0,Patriots,Sam Cunningham 2 yard rush (John Smith kick),7,7
2,3.0,Bengals,Dave Green 29 yard field goal,7,10
3,3.0,Patriots,John Smith 35 yard field goal,10,10
4,3.0,Bengals,Essex Johnson 12 yard rush (Dave Green kick),10,17
5,3.0,Bengals,Charlie Joiner 37 yard pass from Ken Anderson (Dave Green kick),10,24
6,4.0,Bengals,Dave Green 21 yard field goal,10,27
