,Quarter,Time,Tm,Detail,WAS,HOU
0,2.0,6:06,Redskins,Darrel Young 1 yard rush (Kai Forbath kick failed),6,0
1,2.0,4:15,Texans,DeAndre Hopkins 76 yard pass from Ryan Fitzpatrick (Randy Bullock kick),6,7
2,2.0,2:09,Texans,Alfred Blue 5 yard blocked punt return (Randy Bullock kick),6,14
3,4.0,1:55,Texans,Randy Bullock 42 yard field goal,6,17
