,Quarter,Time,Tm,Detail,MIA,TEN
0,1.0,10:39,Dolphins,Jarvis Landry 22 yard rush (Andrew Franks kick),7,0
1,1.0,5:28,Titans,Ryan Succop 37 yard field goal,7,3
2,1.0,0:06,Dolphins,Andrew Franks 30 yard field goal,10,3
3,2.0,5:07,Dolphins,Lamar Miller 7 yard rush (Andrew Franks kick),17,3
4,3.0,5:40,Dolphins,Reshad Jones 30 yard interception return (Andrew Franks kick),24,3
5,3.0,0:00,Titans,Dexter McCluster 3 yard pass from Marcus Mariota (Ryan Succop kick),24,10
6,4.0,7:38,Dolphins,Dion Sims 2 yard pass from Ryan Tannehill (Andrew Franks kick),31,10
7,4.0,1:54,Dolphins,Jordan Cameron 12 yard pass from Ryan Tannehill (Andrew Franks kick),38,10
