,Quarter,Time,Tm,Detail,STL,ARI
0,1.0,2:41,Cardinals,Beanie Wells 1 yard rush (Jay Feely kick),0,7
1,2.0,14:52,Rams,Janoris Jenkins 36 yard interception return (Greg Zuerlein kick),7,7
2,2.0,7:52,Cardinals,Beanie Wells 12 yard rush (Jay Feely kick),7,14
3,2.0,1:53,Rams,Lance Kendricks 37 yard pass from Sam Bradford (Greg Zuerlein kick),14,14
4,2.0,0:00,Cardinals,Jay Feely 32 yard field goal,14,17
5,3.0,9:58,Rams,Chris Givens 37 yard pass from Sam Bradford (Greg Zuerlein kick),21,17
6,3.0,2:28,Rams,Janoris Jenkins 39 yard interception return (Greg Zuerlein kick),28,17
7,4.0,5:27,Rams,Greg Zuerlein 19 yard field goal,31,17
