,Quarter,Tm,Detail,GNB,MIL
0,3.0,Packers,Verne Lewellen 20 yard pass from Eddie Kotal (Pid Purdy kick),7,0
1,4.0,Packers,Eddie Kotal 5 yard rush (Pid Purdy kick),14,0
2,4.0,Packers,Verne Lewellen 70 yard rush (Curly Lambeau kick),21,0
