,Quarter,Tm,Detail,CHI,MIN
0,2.0,Vikings,Bob Grim 4 yard pass from Gary Cuozzo (Fred Cox kick),0,7
1,3.0,Bears,Mac Percival 45 yard field goal,3,7
2,3.0,Vikings,Bob Grim 52 yard pass from Gary Cuozzo (Fred Cox kick),3,14
3,3.0,Vikings,Fred Cox 14 yard field goal,3,17
4,4.0,Bears,Dick Gordon 36 yard pass from Kent Nix (Mac Percival kick),10,17
5,4.0,Bears,Mac Percival 45 yard field goal,13,17
6,4.0,Bears,Dick Gordon 19 yard pass from Kent Nix (Mac Percival kick),20,17
