,Quarter,Tm,Detail,PIT,WAS
0,1.0,Redskins,Hugh Taylor 70 yard pass from Harry Gilmer (Bill Dudley kick),0,7
1,1.0,Steelers,Joe Geri 40 yard field goal,3,7
2,2.0,Steelers,Bob Gage 5 yard rush (Joe Geri kick),10,7
3,3.0,Steelers,Elbie Nickel 28 yard pass from Joe Geri (Joe Geri kick),17,7
4,4.0,Steelers,Fran Rogel 3 yard rush (Joe Geri kick),24,7
5,4.0,Steelers,"Safety, Gilmer tackled in end zone by Stautner",26,7
