,Quarter,Tm,Detail,PHI,BAL
0,2.0,Colts,Roosevelt Leaks 2 yard rush (Toni Linhart kick),0,7
1,2.0,Colts,Roosevelt Leaks 4 yard pass from Bill Troup (Toni Linhart kick),0,14
2,4.0,Eagles,Keith Krepfle 20 yard pass from Ron Jaworski (Nick Mike-Mayer kick),7,14
3,4.0,Eagles,Nick Mike-Mayer 26 yard field goal,10,14
4,4.0,Eagles,Wilbert Montgomery 14 yard rush (Nick Mike-Mayer kick),17,14
