,Quarter,Time,Tm,Detail,NYG,WAS
0,1.0,,Redskins,Chip Lohmiller 43 yard field goal,0,3
1,1.0,,Giants,Dave Brown 2 yard rush (David Treadwell kick),7,3
2,2.0,,Redskins,Chip Lohmiller 29 yard field goal,7,6
3,2.0,,Giants,Chris Calloway 34 yard pass from Dave Brown (David Treadwell kick),14,6
4,2.0,,Redskins,Chip Lohmiller 29 yard field goal,14,9
5,3.0,,Giants,Mike Sherrard 6 yard pass from Dave Brown (David Treadwell kick),21,9
6,3.0,,Redskins,Chip Lohmiller 46 yard field goal,21,12
7,4.0,,Redskins,Martin Bayless 60 yard defensive fumble return (Chip Lohmiller kick),21,19
