,Quarter,Tm,Detail,RAM,STL
0,2.0,Rams,Willie Miller 9 yard pass from Vince Ferragamo (Frank Corral kick),7,0
1,2.0,Rams,Vince Ferragamo 4 yard rush (Frank Corral kick),14,0
2,3.0,Cardinals,Willard Harrell 2 yard rush (Steve Little kick),14,7
3,4.0,Rams,Mike Guman 6 yard rush (Frank Corral kick),21,7
4,4.0,Cardinals,Doug Marsh 22 yard pass from Jim Hart,21,13
