,Quarter,Tm,Detail,KAN,SEA
0,1.0,Seahawks,John Kasay 22 yard field goal,0,3
1,1.0,Chiefs,Marcus Allen 1 yard rush (Nick Lowery kick),7,3
2,1.0,Chiefs,Nick Lowery 47 yard field goal,10,3
3,2.0,Chiefs,Derrick Thomas 86 yard defensive fumble return (Nick Lowery kick),17,3
4,2.0,Seahawks,John Kasay 26 yard field goal,17,6
5,3.0,Chiefs,Marcus Allen 1 yard rush (Nick Lowery kick),24,6
6,3.0,Chiefs,Marcus Allen 30 yard rush (Nick Lowery kick),31,6
7,3.0,Seahawks,Chris Warren 1 yard rush (John Kasay kick),31,13
8,4.0,Seahawks,John Kasay 37 yard field goal,31,16
