,Quarter,Time,Tm,Detail,GNB,PIT
0,1.0,11:42,Steelers,Charles Johnson 8 yard pass from Kordell Stewart (Norm Johnson kick),0,7
1,1.0,1:24,Steelers,Kordell Stewart 1 yard rush (Norm Johnson kick),0,14
2,2.0,7:11,Steelers,Norm Johnson 45 yard field goal,0,17
3,2.0,0:32,Steelers,Chris Fuamatu-Ma'afala 5 yard rush (Norm Johnson kick),0,24
4,3.0,8:50,Steelers,Norm Johnson 21 yard field goal,0,27
5,3.0,3:29,Packers,Ryan Longwell 42 yard field goal,3,27
6,4.0,9:55,Packers,Keith McKenzie 88 yard defensive fumble return (pass failed),9,27
7,4.0,5:30,Packers,Raymont Harris 2 yard rush (Antonio Freeman pass from Brett Favre ),17,27
8,4.0,2:58,Packers,Ryan Longwell 37 yard field goal,20,27
