,Quarter,Tm,Detail,RAI,DEN
0,1.0,Broncos,John Elway 29 yard rush (David Treadwell kick),0,7
1,1.0,Broncos,Jeff Alexander 1 yard rush (David Treadwell kick),0,14
2,1.0,Broncos,Mark Jackson 46 yard pass from John Elway (David Treadwell kick),0,21
3,2.0,Broncos,Mark Jackson 11 yard pass from John Elway (David Treadwell kick),0,28
4,3.0,Raiders,Lionel Washington 22 yard interception return (Jeff Jaeger kick),7,28
5,4.0,Raiders,Mervyn Fernandez 75 yard pass from Jay Schroeder (Jeff Jaeger kick),14,28
6,4.0,Raiders,Linden King 15 yard defensive fumble return (Jeff Jaeger kick),21,28
7,4.0,Broncos,David Treadwell 38 yard field goal,21,31
