,Quarter,Tm,Detail,DET,BKN
0,2.0,Lions,Ace Gutowsky 1 yard rush (Dutch Clark kick),7,0
1,2.0,Dodgers,Bobby Wilson 1 yard rush (Ralph Kercheval kick),7,7
2,4.0,Lions,Ace Gutowsky 2 yard rush (Dutch Clark kick),14,7
