,Quarter,Tm,Detail,BAL,GNB
0,1.0,Colts,Lou Michaels 26 yard field goal,3,0
1,2.0,Packers,Don Chandler 19 yard field goal,3,3
2,2.0,Packers,Herb Adderley 44 yard interception return (Don Chandler kick),3,10
3,2.0,Colts,Jerry Hill 1 yard rush (Lou Michaels kick),10,10
4,4.0,Packers,Don Chandler 41 yard field goal,10,13
5,4.0,Colts,Raymond Berry 5 yard pass from Johnny Unitas (Lou Michaels kick),17,13
6,4.0,Packers,Max McGee 37 yard pass from Zeke Bratkowski (Don Chandler kick),17,20
