,Quarter,Time,Tm,Detail,BUF,CLE
0,1.0,12:13,Browns,Jarvis Landry 17 yard pass from Baker Mayfield (Austin Seibert kick failed),0,6
1,2.0,10:13,Bills,Josh Allen 10 yard rush (Stephen Hauschka kick),7,6
2,2.0,3:38,Browns,Austin Seibert 27 yard field goal,7,9
3,3.0,11:00,Bills,"Safety, Baker Mayfield sacked in end zone by Tremaine Edmunds",9,9
4,3.0,3:53,Browns,Austin Seibert 47 yard field goal,9,12
5,4.0,5:34,Bills,Josh Allen 1 yard rush (Stephen Hauschka kick),16,12
6,4.0,1:48,Browns,Rashard Higgins 7 yard pass from Baker Mayfield (Austin Seibert kick),16,19
