,Quarter,Time,Tm,Detail,TEN,SDG
0,1.0,8:52,Chargers,Dante Rosario 11 yard pass from Philip Rivers (Nate Kaeding kick),0,7
1,1.0,4:15,Chargers,Dante Rosario 4 yard pass from Philip Rivers (Nate Kaeding kick),0,14
2,2.0,12:15,Chargers,Nate Kaeding 26 yard field goal,0,17
3,2.0,4:42,Titans,Rob Bironas 23 yard field goal,3,17
4,3.0,3:29,Chargers,Dante Rosario 15 yard pass from Philip Rivers (Nate Kaeding kick),3,24
5,3.0,2:20,Titans,Kendall Wright 15 yard pass from Jake Locker (Rob Bironas kick),10,24
6,4.0,10:33,Chargers,Jackie Battle 1 yard rush (Nate Kaeding kick),10,31
7,4.0,1:13,Chargers,Jackie Battle 1 yard rush (Nate Kaeding kick),10,38
