,Quarter,Time,Tm,Detail,CHI,MIN
0,1.0,5:14,Bears,Robbie Gould 22 yard field goal,3,0
1,2.0,14:53,Vikings,Paul Edinger 54 yard field goal,3,3
2,2.0,7:37,Vikings,Ciatrick Fason 2 yard rush (Paul Edinger kick),3,10
3,2.0,0:03,Vikings,Travis Taylor 17 yard pass from Brad Johnson (Paul Edinger kick),3,17
4,3.0,3:58,Vikings,Mewelde Moore 7 yard pass from Brad Johnson (Paul Edinger kick),3,24
5,4.0,14:52,Vikings,Paul Edinger 27 yard field goal,3,27
6,4.0,7:08,Bears,Justin Gage 4 yard pass from Jeff Blake (Robbie Gould kick),10,27
7,4.0,5:10,Vikings,Michael Bennett 61 yard rush (Paul Edinger kick),10,34
