,Quarter,Tm,Detail,GNB,POT
0,1,Maroons,Jack Ernst 40 yard pass from Hap Moran,0,6
1,2,Maroons,George Kenneally 8 yard pass from Jack Ernst (Johnny Budd kick),0,13
2,3,Maroons,Johnny Blood 21 yard pass from Jack Ernst,0,19
3,4,Maroons,Johnny Blood unknown yard pass from (extra point pass successful),0,26
