,Quarter,Tm,Detail,CHI,NOR
0,1,Bears,Willie Gault 8 yard pass from Jim McMahon (Bob Thomas kick),7,0
1,1,Saints,Hokie Gajan 3 yard rush (Morten Andersen kick),7,7
2,2,Saints,Morten Andersen 21 yard field goal,7,10
3,2,Bears,Bob Thomas 27 yard field goal,10,10
4,3,Saints,Hoby Brenner 15 yard pass from Ken Stabler (Morten Andersen kick),10,17
5,3,Saints,Kenny Duckett 25 yard pass from Ken Stabler (Morten Andersen kick),10,24
6,3,Bears,Walter Payton 49 yard rush (Bob Thomas kick),17,24
7,4,Bears,Willie Gault 56 yard pass from Walter Payton (Bob Thomas kick),24,24
8,4,Saints,Johnnie Poe 31 yard interception return (Morten Andersen kick),24,31
9,4,Bears,Willie Gault 21 yard pass from Walter Payton (Bob Thomas kick),31,31
10,OT,Saints,Morten Andersen 41 yard field goal,31,34
