,Quarter,Time,Tm,Detail,WAS,STL
0,1.0,,Rams,Dean Biasucci 25 yard field goal,0,3
1,1.0,,Rams,Jerome Bettis 1 yard rush (Dean Biasucci kick),0,10
2,1.0,,Redskins,Brian Mitchell 22 yard pass from Heath Shuler (Eddie Murray kick),7,10
3,2.0,,Redskins,Tom Carter 51 yard interception return (Eddie Murray kick),14,10
4,3.0,,Redskins,Terry Allen 1 yard rush (Eddie Murray kick),21,10
5,3.0,,Redskins,Leslie Shepherd 8 yard rush (Eddie Murray kick),28,10
6,4.0,,Rams,Johnny Bailey 5 yard rush (Dean Biasucci kick),28,17
7,4.0,,Rams,Alexander Wright 21 yard pass from Mark Rypien (pass failed),28,23
8,4.0,11:06,Redskins,Tony Woods 3 yard defensive fumble return (Eddie Murray kick),35,23
