,Quarter,Time,Tm,Detail,CIN,SDG
0,1.0,,Chargers,John Carney 38 yard field goal,0,3
1,1.0,,Bengals,Doug Pelfrey 19 yard field goal,3,3
2,2.0,,Chargers,Natrone Means 3 yard rush (John Carney kick),3,10
3,2.0,,Chargers,John Carney 20 yard field goal,3,13
4,3.0,,Chargers,Mark Seay 49 yard pass from Stan Humphries (John Carney kick),3,20
5,4.0,,Bengals,Harold Green 5 yard pass from David Klingler (Doug Pelfrey kick),10,20
6,4.0,,Chargers,Mark Seay 4 yard pass from Stan Humphries (John Carney kick),10,27
