,Quarter,Tm,Detail,TAM,ATL
0,1.0,Buccaneers,Ricky Bell 1 yard rush (Neil O'Donoghue kick),7,0
1,2.0,Falcons,Tim Mazzetti 30 yard field goal,7,3
2,4.0,Falcons,Jim Mitchell 4 yard pass from Steve Bartkowski (Tim Mazzetti kick),7,10
3,4.0,Falcons,Bubba Bean 60 yard rush (Tim Mazzetti kick),7,17
4,4.0,Buccaneers,Jimmie Giles 12 yard pass from Doug Williams (Neil O'Donoghue kick),14,17
