,Quarter,Tm,Detail,WAS,NYG
0,1.0,Redskins,Earnest Byner 1 yard rush (Chip Lohmiller kick),7,0
1,2.0,Redskins,Earnest Byner 11 yard rush (Chip Lohmiller kick),14,0
2,2.0,Giants,Ken Willis 43 yard field goal,14,3
3,3.0,Giants,Rodney Hampton 1 yard rush (Ken Willis kick),14,10
4,3.0,Redskins,Terry Orr 20 yard pass from Mark Rypien (Chip Lohmiller kick),21,10
5,4.0,Redskins,Art Monk 42 yard pass from Mark Rypien (Chip Lohmiller kick),28,10
