,Quarter,Tm,Detail,BAL,RAM
0,1.0,Colts,Bert Rechichar 44 yard field goal,3,0
1,2.0,Colts,Gary Kerkorian 25 yard field goal,6,0
2,2.0,Rams,Skeets Quinlan 29 yard rush (Les Richter kick),6,7
3,2.0,Colts,Carl Taseff 14 yard pass from Gary Kerkorian (Gary Kerkorian kick),13,7
4,3.0,Colts,Bert Rechichar 39 yard field goal,16,7
5,3.0,Colts,Bert Rechichar 32 yard field goal,19,7
6,4.0,Rams,Bob Boyd 26 yard pass from Norm Van Brocklin (Tom Fears kick),19,14
7,4.0,Rams,Dan Towler 1 yard rush (Les Richter kick),19,21
8,4.0,Colts,Gary Kerkorian 13 yard field goal,22,21
